Ticker,Inventory,Working Capital,Total Assets,Current Assets,Current Liabilities,Cash And Cash Equivalents,Total Debt,Stockholders Equity,Invested Capital,Reconciled Cost Of Revenue,Operating Revenue,Ebitda,Ebit,Interest Expense,Gross Profit,Net Income,mean,count
WPP,,-1001733333.3333334,30953466666.666668,18138533333.333332,19140266666.666668,6424500000.0,9919400000.0,4009733333.3333335,11792900000.0,10825166666.666666,13077533333.333334,653633333.3333334,91666666.66666667,318333333.3333333,2252366666.6666665,-548233333.3333334,1.1773333333333331,6.0
WPRT,72055000.0,138519666.66666666,408342333.3333333,281515666.6666667,142996000.0,91687000.0,95900666.66666667,181481333.33333334,250724333.33333334,240961666.66666666,290202333.3333333,8153666.666666667,-5136000.0,5425333.333333333,41299333.333333336,-8798666.666666666,,
WRAP,2732000.0,35548666.666666664,41211666.666666664,38333000.0,2784333.3333333335,8971333.333333334,169000.0,38244333.333333336,38244333.333333336,4216666.666666667,6243333.333333333,-17966333.333333332,-18434000.0,,2357333.3333333335,-18215333.333333332,,
WRB,,,31518142000.0,,,1796851666.6666667,2943198666.6666665,6570715000.0,9513913666.666666,,9599060666.666666,,1378493000.0,142697000.0,,978074000.0,0.21166666666666667,12.0
WRB-PE,,,31518142000.0,,,1796851666.6666667,2943198666.6666665,6570715000.0,9513913666.666666,,9599060666.666666,,1378493000.0,142697000.0,,978074000.0,,
WRBY,54803666.666666664,209830000.0,484701333.3333333,327493666.6666667,117663666.66666667,259695333.33333334,86689000.0,293685666.6666667,124849000.0,213961000.0,510876333.3333333,-79772666.66666667,-103498666.66666667,,296915333.3333333,-103527666.66666667,,
WRK,2171266666.6666665,2037966666.6666667,28813166666.666668,5529900000.0,3491933333.3333335,267400000.0,8470633333.333333,11234300000.0,19704933333.333332,14537433333.333334,19193800000.0,2492566666.6666665,1014033333.3333334,420000000.0,3547166666.6666665,364000000.0,0.25166666666666665,12.0
WRLD,,,1067550729.3333334,,,15533899.333333334,610143604.6666666,396638312.0,912796391.0,,539395473.3333334,,,28339918.0,,56786714.333333336,,
WRNT,,-38352333.333333336,152103666.66666666,73667666.66666667,112020000.0,18344000.0,77393666.66666667,-34587000.0,42806666.666666664,11302333.333333334,164800333.33333334,-53170666.666666664,-53650666.666666664,3420000.0,153498000.0,-57070666.666666664,,
WS,506214000.0,521584000.0,1725340000.0,1103610000.0,582026000.0,18755500.0,81004000.0,897240500.0,938739000.0,2715019000.0,3098169000.0,271514500.0,219288500.0,,383150000.0,175694500.0,,
WSBC,,,16761546666.666666,,,855072000.0,854463333.3333334,2625521666.6666665,3335501000.0,,589193666.6666666,,,42724666.666666664,,185472333.33333334,0.3308333333333333,12.0
WSBCP,,,16761546666.666666,,,855072000.0,854463333.3333334,2625521666.6666665,3335501000.0,,589193666.6666666,,,42724666.666666664,,185472333.33333334,0.473,9.0
WSBF,,,2144039000.0,,,158206666.66666666,453233333.3333333,405459000.0,858692333.3333334,,234912000.0,,,17547666.666666668,,57141000.0,0.2586666666666667,15.0
WSC,31518666.666666668,-34201666.666666664,5724485000.0,475216333.3333333,509418000.0,12906666.666666666,2966854666.6666665,1875312000.0,4618810333.333333,583554333.3333334,1696198000.0,603590666.6666666,300705000.0,127318333.33333333,862870666.6666666,191270333.33333334,,
WSFS,,,16675332000.0,,,1341644000.0,435670666.6666667,1978646000.0,2414316666.6666665,,734078000.0,,,37365000.0,,202863666.66666666,0.12916666666666665,12.0
WSM,1126335500.0,585644000.0,4643522000.0,2395487000.0,1809843000.0,1025337500.0,1409204500.0,1657696000.0,1807371000.0,4380446500.0,7514562500.0,1374277500.0,1181906500.0,9048000.0,3134116000.0,903525500.0,0.62,12.0
WSO,1088980333.3333333,1208065000.0,3019474000.0,1914861333.3333333,706796333.3333334,137280000.0,325461666.6666667,1680287666.6666667,1811055000.0,4562936333.333333,6203154666.666667,648952666.6666666,620380000.0,1466666.6666666667,1640218333.3333333,429897000.0,1.9249999999999998,12.0
WSR,,1686000.0,1083286333.3333333,52410333.333333336,50724333.333333336,15888000.0,637729666.6666666,381104666.6666667,1018589333.3333334,40398333.333333336,129805333.33333333,73348000.0,43694666.666666664,25842333.333333332,89407000.0,17784000.0,0.04161111111111112,36.0
WST,371500000.0,1139566666.6666667,3241466666.6666665,1678400000.0,538833333.3333334,757466666.6666666,322966666.6666667,2291600000.0,2530633333.3333335,1595200000.0,2621800000.0,735466666.6666666,618133333.3333334,8100000.0,1026600000.0,531300000.0,0.1725,12.0
WT,,144563666.66666666,989457000.0,246597000.0,102033333.33333333,115411666.66666667,276352000.0,280433333.3333333,549262000.0,84880000.0,279359666.6666667,35483333.333333336,32778000.0,12311666.666666666,198280000.0,21608666.666666668,0.03000000000000001,12.0
WTBA,,,3433054333.3333335,,,99019000.0,233283666.66666666,231711666.66666666,464995333.3333333,,99192333.33333333,,,20410000.0,,42906000.0,0.23166666666666666,12.0
WTFC,,,49390853333.333336,,,4462774000.0,2809535666.6666665,4470507000.0,6867542666.666667,,1771362666.6666667,,,218573666.66666666,,422941000.0,0.31,12.0
WTFCM,,,49390853333.333336,,,4462774000.0,2809535666.6666665,4470507000.0,6867542666.666667,,1771362666.6666667,,,218573666.66666666,,422941000.0,0.41,12.0
WTFCP,,,49390853333.333336,,,4462774000.0,2809535666.6666665,4470507000.0,6867542666.666667,,1771362666.6666667,,,218573666.66666666,,422941000.0,0.4589999999999999,10.0
WTI,,-65320000.0,1188526333.3333333,345250000.0,410570000.0,250294000.0,695290666.6666666,-149277333.33333334,533929666.6666667,126467000.0,595846000.0,270408333.3333333,147954666.66666666,66984333.333333336,482080000.0,75820333.33333333,,
WTM,,,6407133333.333333,,,204633333.33333334,457500000.0,3733666666.6666665,4191166666.6666665,,889300000.0,,101866666.66666667,22733333.333333332,,408700000.0,1.0,3.0
WTMA,,-1092926.0,78363409.5,934235.0,2027161.0,755418.5,1545537.0,73671403.5,74444172.0,,0.0,-3331190.0,-3331190.0,,,-2390719.0,,
WTO,32157666.666666668,2820666.6666666665,197446000.0,146850666.66666666,144030000.0,25407666.666666668,41498333.333333336,43367666.666666664,77621000.0,221396666.66666666,234430333.33333334,-18808333.333333332,-22913333.333333332,3027000.0,17101666.666666668,-25720333.333333332,,
WTRG,122565333.33333333,-274877000.0,14694220666.666666,492058000.0,766935000.0,8930666.666666666,6195798666.666667,5081904333.333333,11230523666.666666,933614000.0,1876291333.3333333,882775666.6666666,590713000.0,211420000.0,942677333.3333334,393899333.3333333,0.2598333333333333,12.0
WTS,336633333.3333333,473866666.6666667,1841566666.6666667,840533333.3333334,366666666.6666667,257233333.33333334,162566666.66666666,1181200000.0,1343766666.6666667,1010166666.6666666,1765766666.6666667,288866666.6666667,245100000.0,8866666.666666666,755600000.0,177166666.66666666,0.2575,12.0
WTTR,39668000.0,260713000.0,1016134666.6666666,421409000.0,160696000.0,87387333.33333333,74258666.66666667,650378000.0,655711333.3333334,767927666.6666666,919048333.3333334,-27024333.333333332,-129865333.33333333,2182333.3333333335,50783333.333333336,-110877000.0,0.05,1.0
